iata,name,city,country,latitude,longitude,timezone
OBU,Kobuk Airport,Kobuk,United States,66.9123,-156.897003,America/Anchorage
OCC,Francisco De Orellana Airport,Coca,Ecuador,-0.462886,-76.986801,America/Guayaquil
OCE,Ocean City Municipal Airport,Ocean City,United States,38.310398,-75.124001,America/New_York
OCF,Ocala International Airport - Jim Taylor Field,Ocala,United States,29.17259979,-82.22419739,America/New_York
OCH,A L Mangham Jr. Regional Airport,Nacogdoches,United States,31.57799911,-94.70950317,America/Chicago
OCJ,Ian Fleming International Airport,Ocho Rios,Jamaica,18.404079,-76.969754,America/Jamaica
OCN,Oceanside Municipal Airport,Oceanside,United States,33.217947,-117.351683,America/Los_Angeles
OCV,Aguas Claras Airport,Ocana,Colombia,8.31506,-73.3583,America/Bogota
OCW,Warren Field,Washington,United States,35.570499420166,-77.049797058105,America/New_York
ODA,Ouadda Airport,Ouadda,Central African Republic,8.01056003570557,22.3985996246338,Africa/Bangui
ODB,Córdoba Airport,Cordoba,Spain,37.841999,-4.84888,Europe/Madrid
ODC,Oakdale Airport,Oakdale,United States,37.75630188,-120.8000031,America/Los_Angeles
ODE,Odense Hans Christian Andersen Airport,Odense,Denmark,55.475307,10.327206,Europe/Copenhagen
ODH,RAF Odiham,Odiham,United Kingdom,51.2341,-0.942825,Europe/London
ODJ,Ouanda Djallé Airport,Ouanda Djalle,Central African Republic,8.89999961853027,22.7830009460449,Africa/Bangui
ODL,Cordillo Downs Airport,Cordillo Downs,Australia,-26.7453002929688,140.638000488281,Australia/Adelaide
ODN,Long Seridan Airport,Long Seridan,Malaysia,3.976087,115.067303,Asia/Kuching
ODO,Bodaybo Airport,Bodaybo,Russia,57.8661003113,114.242996216,Asia/Irkutsk
ODR,Ord River Airport,Ord River,Australia,-17.340799331665,128.912002563477,Australia/Perth
ODS,Odesa International Airport,Odessa,Ukraine,46.427196,30.672649,Europe/Kyiv
ODW,AJ Eisenberg Airport,Oak Harbor,United States,48.251499176,-122.674003601,America/Los_Angeles
ODY,Oudomsay Airport,Oudomsay,Laos,20.6826992034912,101.994003295898,Asia/Vientiane
OEC,Oecusse Route of the Sandalwood International Airport,Oecussi-Ambeno,Timor-Leste,-9.198419,124.337873,Asia/Dili
OEM,Vincent Fayks Airport,Paloemeu,Suriname,3.346051,-55.443707,America/Paramaribo
OEO,L O Simenstad Municipal Airport,Osceola,United States,45.310001,-92.691902,America/Chicago
OER,Örnsköldsvik Airport,Ornskoldsvik,Sweden,63.4082984924316,18.9899997711182,Europe/Stockholm
OES,Antoine de Saint Exupéry Airport,San Antonio Oeste,Argentina,-40.7512,-65.0343,America/Argentina/Salta
OFF,Offutt Air Force Base,Omaha,United States,41.119307,-95.90851,America/Chicago
OFI,Ouango Fitini Airport,Ouango Fitini,Côte d'Ivoire,9.6,-4.05,Africa/Abidjan
OFK,Karl Stefan Memorial Airport,Norfolk,United States,41.985500335693,-97.435096740723,America/Chicago
OFU,Ofu Airport,Ofu Village,American Samoa,-14.1844,-169.669998,Pacific/Pago_Pago
OGA,Ogallala Municipal Airport Searle Field,Ogallala,United States,41.119499,-101.769997,America/Denver
OGB,Orangeburg Municipal Airport,Orangeburg,United States,33.456798553467,-80.859497070312,America/New_York
OGD,Ogden Hinckley Airport,Ogden,United States,41.195899963379,-112.0120010376,America/Denver
OGG,Kahului International Airport,Kahului,United States,20.896263,-156.431837,Pacific/Honolulu
OGL,Eugene F. Correia International Airport,Ogle,Guyana,6.80628,-58.1059,America/Guyana
OGO,Abengourou Airport,Abengourou,Côte d'Ivoire,6.71556,-3.47028,Africa/Abidjan
OGR,Bongor Airport,Bongor,Chad,10.288345,15.379561,Africa/Ndjamena
OGS,Ogdensburg International Airport,Ogdensburg,United States,44.6819,-75.4655,America/New_York
OGU,Ordu–Giresun Airport,Ordu,Turkey,40.966872,38.085995,Europe/Istanbul
OGX,Ain Beida Airport,Ouargla,Algeria,31.9172,5.41278,Africa/Algiers
OGZ,Vladikavkaz Beslan International Airport,Beslan,Russia,43.205101,44.606602,Europe/Moscow
OHB,Ambohibary Airport,Moramanga,Madagascar,-18.9175,48.2181944444,Indian/Antananarivo
OHD,Ohrid St. Paul the Apostle Airport,Ohrid,North Macedonia,41.18,20.7423,Europe/Skopje
OHE,Mohe Gulian Airport,Mohe,China,52.916871,122.422759,Asia/Shanghai
OHH,Okha Airport,Okha,Russia,53.516446,142.881426,Asia/Sakhalin
OHO,Okhotsk Airport,Okhotsk,Russia,59.410065,143.056503,Asia/Vladivostok
OHR,Wyk auf Föhr Airport,Wyk auf Fohr,Germany,54.684444,8.528333,Europe/Berlin
OHS,Suhar International Airport,Sohar,Oman,24.38604,56.62541,Asia/Muscat
OHT,Kohat Airport,Kohat,Pakistan,33.5699996948,71.4400024414,Asia/Karachi
OIA,Ourilândia do Norte Airport,Ourilandia Do Norte,Brazil,-6.762992,-51.04993,America/Belem
OIC,Lt Warren Eaton Airport,Norwich,United States,42.566600799561,-75.524101257324,America/New_York
OIM,Oshima Airport,Izu Oshima,Japan,34.7820014954,139.36000061,Asia/Tokyo
OIT,Oita Airport,Oita,Japan,33.4794006348,131.736999512,Asia/Tokyo
OJC,Johnson County Executive Airport,Olathe,United States,38.84759903,-94.73760223,America/Chicago
OKA,Naha International Airport,Naha,Japan,26.192437,127.639804,Asia/Tokyo
OKC,OKC Will Rogers World Airport,Oklahoma City,United States,35.393388,-97.598248,America/Chicago
OKD,Sapporo Okadama Airport,Sapporo,Japan,43.117447,141.38134,Asia/Tokyo
OKF,Okaukuejo Airport,Okaukuejo,Namibia,-19.1492,15.9119,Africa/Windhoek
OKI,Oki Global Geopark Airport,Okinoshima,Japan,36.178388,133.323566,Asia/Tokyo
OKJ,Okayama Momotaro Airport,Okayama City,Japan,34.756901,133.854996,Asia/Tokyo
OKK,Kokomo Municipal Airport,Kokomo,United States,40.528198242188,-86.05899810791,America/Indiana/Indianapolis
OKL,Oksibil Airport,Oksibil-Papua Island,Indonesia,-4.9071,140.6277,Asia/Jayapura
OKM,Okmulgee Regional Airport,Okmulgee,United States,35.668098449707,-95.948699951172,America/Chicago
OKN,Okondja Airport,Okondja,Gabon,-0.665214,13.6731,Africa/Libreville
OKO,Yokota Air Base,Fussa,Japan,35.748501,139.348007,Asia/Tokyo
OKQ,Okaba Airport,Okaba-Papua Island,Indonesia,-8.0946,139.7233,Asia/Jayapura
OKR,Yorke Island Airport,Yorke Island,Australia,-9.752801,143.405673,Australia/Brisbane
OKS,Garden County Airport/King Rhiley Field,Oshkosh,United States,41.401001,-102.355003,America/Denver
OKT,Oktyabrskiy Airport,Kzyl-Yar,Russia,54.439999,53.388302,Asia/Yekaterinburg
OKU,Mokuti Lodge Airport,Mokuti Lodge,Namibia,-18.812799,17.059401,Africa/Windhoek
